collection_name,dataset_title,total_cell_count,author_cell_type,embedding,first_author,journal,year,collection_url,tissue,disease,collection_id,collection_version_id,dataset_id,dataset_version_id,is_preprint,revised_at,visibility,organism,filter_normal,metric,save_scores,save_cluster_summary,save_annotation,h5ad_url
Emphysema Cell Atlas,AT2 cells,3662,,,Wang,Immunity,2023,https://cellxgene.cziscience.com/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168,alveolus of lung,normal | pulmonary emphysema,03cdc7f4-bd08-49d0-a395-4487c0e5a168,416b2d25-cc16-4bf2-91c4-9684f880b97a,214bf9eb-93db-48c8-8e3c-9bb22fa3bc63,0c8d8b39-9859-40a0-af2a-36908a70d9ae,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/0c8d8b39-9859-40a0-af2a-36908a70d9ae.h5ad
Emphysema Cell Atlas,immune cells,35699,,,Wang,Immunity,2023,https://cellxgene.cziscience.com/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168,alveolus of lung,normal | pulmonary emphysema,03cdc7f4-bd08-49d0-a395-4487c0e5a168,416b2d25-cc16-4bf2-91c4-9684f880b97a,1e5bd3b8-6a0e-4959-8d69-cafed30fe814,b1348c02-123e-4e06-8511-def04849cb8d,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/b1348c02-123e-4e06-8511-def04849cb8d.h5ad
Bronchopulmonary Dysplasia,Bronchopulmonary dysplasia,271381,,,,,,https://cellxgene.cziscience.com/collections/3a5dbf8a-9b3e-4309-b4c5-d8a024f83734,middle lobe of right lung,bronchopulmonary dysplasia | normal,3a5dbf8a-9b3e-4309-b4c5-d8a024f83734,575961d0-5700-40d4-9eed-86e91b464f04,d68a8b48-abf0-4bd5-8834-155d34ec448a,759340c3-4596-40f6-88b9-b2b984686e06,,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/759340c3-4596-40f6-88b9-b2b984686e06.h5ad
Human CellCards Multi-Study CellRef 1.0 Atlas,Human CellCards Multi-Study CellRef 1.0 Atlas,347970,,,Guo,Nat Commun,2023,https://cellxgene.cziscience.com/collections/f86d6317-7215-409e-bfda-3f4ded3dadaa,lung,normal,f86d6317-7215-409e-bfda-3f4ded3dadaa,73b18151-d281-40f8-8932-8e65c21009c2,eb499fd8-7000-419f-8854-926b9b61b11f,8b459307-bce0-45f9-9e45-a0a3673058a2,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/8b459307-bce0-45f9-9e45-a0a3673058a2.h5ad
High-resolution single-cell atlas reveals diversity and plasticity of tumor-associated neutrophils in non-small cell lung cancer,The single-cell lung cancer atlas (LuCA) -- core atlas,892296,,,Salcher,Cancer Cell,2022,https://cellxgene.cziscience.com/collections/edb893ee-4066-4128-9aec-5eb2b03f8287,adrenal tissue | brain | liver | lung | lymph node | pleural effusion,chronic obstructive pulmonary disease | lung adenocarcinoma | non-small cell lung carcinoma | normal | squamous cell lung carcinoma,edb893ee-4066-4128-9aec-5eb2b03f8287,1f3f3745-2968-453d-8b3e-0660641a9693,232f6a5a-a04c-4758-a6e8-88ab2e3a6e69,c1870f1f-ca36-4d96-b03b-7dc0e96d83ee,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/c1870f1f-ca36-4d96-b03b-7dc0e96d83ee.h5ad
High-resolution single-cell atlas reveals diversity and plasticity of tumor-associated neutrophils in non-small cell lung cancer,The single-cell lung cancer atlas (LuCA) -- extended atlas,1283972,,,Salcher,Cancer Cell,2022,https://cellxgene.cziscience.com/collections/edb893ee-4066-4128-9aec-5eb2b03f8287,adrenal tissue | brain | liver | lung | lymph node | pleural effusion,chronic obstructive pulmonary disease | lung adenocarcinoma | non-small cell lung carcinoma | normal | squamous cell lung carcinoma,edb893ee-4066-4128-9aec-5eb2b03f8287,1f3f3745-2968-453d-8b3e-0660641a9693,1e6a6ef9-7ec9-4c90-bbfb-2ad3c3165fd1,f678fb47-e51b-4dc5-b23f-f9df43a67ee5,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/f678fb47-e51b-4dc5-b23f-f9df43a67ee5.h5ad
Transcriptomic Analysis of Air-Liquid Interface Culture in Human Lung Organoids Reveals Regulators of Epithelial Differentiation,Transcriptomic Analysis of Air-Liquid Interface Culture in Human Lung Organoids Reveals Regulators of Epithelial Differentiation,15806,,,Kim,Cells,2024,https://cellxgene.cziscience.com/collections/e9cf4e8d-05ed-4d95-b550-af35ca219390,epithelial cell of lung | lung,normal,e9cf4e8d-05ed-4d95-b550-af35ca219390,12228239-9a14-476a-b8dd-5c867fb86b03,ef1a4b05-540c-4f73-8ceb-49dfa800645d,590f3407-9bba-4642-8ec2-510b607ad3db,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/590f3407-9bba-4642-8ec2-510b607ad3db.h5ad
Automatic cell-type harmonization and integration across Human Cell Atlas datasets,Lung,318426,,,Xu,Cell,2023,https://cellxgene.cziscience.com/collections/854c0855-23ad-4362-8b77-6b1639e7a9fc,bronchus | lower lobe of left lung | lung | lung parenchyma | upper lobe of left lung,normal,854c0855-23ad-4362-8b77-6b1639e7a9fc,bf868bea-52be-443c-bbce-bb35249085b9,493a8b60-d676-44d1-b022-d14c1ad0b36c,018a8104-6273-4114-b24d-efd15478cea8,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/018a8104-6273-4114-b24d-efd15478cea8.h5ad
Multimodal profiling reveals tissue-directed signatures of human immune cells altered with age,Immune aging project - innate lymphoid cell subset,130414,,,Wells,Nat Immunol,2025,https://cellxgene.cziscience.com/collections/cc431242-35ea-41e1-a100-41e0dec2665b,blood | bone marrow | epithelial lining fluid | inguinal lymph node | jejunal epithelium | jejunum lamina propria | lung | mesenteric lymph node | spleen | thoracic lymph node,normal,cc431242-35ea-41e1-a100-41e0dec2665b,b0bc35c2-280e-4b02-97d5-c5f2fc4b8593,e3da8320-0b3c-4bae-ad55-a89eb59ca870,a6ab3ceb-3e8e-4fcc-862c-af6792cc845f,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/a6ab3ceb-3e8e-4fcc-862c-af6792cc845f.h5ad
Multimodal profiling reveals tissue-directed signatures of human immune cells altered with age,Immune aging project - t cell subset,610429,,,Wells,Nat Immunol,2025,https://cellxgene.cziscience.com/collections/cc431242-35ea-41e1-a100-41e0dec2665b,blood | bone marrow | epithelial lining fluid | inguinal lymph node | jejunal epithelium | jejunum lamina propria | lung | mesenteric lymph node | spleen | thoracic lymph node,normal,cc431242-35ea-41e1-a100-41e0dec2665b,b0bc35c2-280e-4b02-97d5-c5f2fc4b8593,960ecd06-e7c2-463d-9a5b-6832994376c6,965008a7-e698-413c-a746-8855a945a7c5,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/965008a7-e698-413c-a746-8855a945a7c5.h5ad
